,DK-114,Schaefer200,AAL,HCP-MMP
DK,0.62 ± 0.03,0.28 ± 0.04,0.47 ± 0.04,0.20 ± 0.03
DK-114,na,0.36 ± 0.03,0.50 ± 0.04,0.28 ± 0.03
DK-219,0.95 ± 0.01,0.46 ± 0.03,0.57 ± 0.03,0.38 ± 0.03
HCP-MMP,0.56 ± 0.03,0.51 ± 0.03,0.57 ± 0.03,na
BN,0.60 ± 0.03,0.44 ± 0.03,0.57 ± 0.03,0.35 ± 0.03
Schaefer200,0.53 ± 0.04,na,0.54 ± 0.04,0.36 ± 0.03
AAL,0.42 ± 0.04,0.30 ± 0.04,na,0.23 ± 0.03
arslan,0.32 ± 0.05,0.26 ± 0.04,0.36 ± 0.04,0.18 ± 0.03
baldassano,0.46 ± 0.04,0.41 ± 0.03,0.50 ± 0.04,0.32 ± 0.03
Brodmann,0.38 ± 0.04,0.29 ± 0.04,0.42 ± 0.04,0.24 ± 0.03
economo,0.37 ± 0.04,0.26 ± 0.04,0.39 ± 0.04,0.22 ± 0.03
ica,0.41 ± 0.04,0.37 ± 0.03,0.47 ± 0.04,0.29 ± 0.03
nspn500,0.82 ± 0.02,0.50 ± 0.03,0.61 ± 0.03,0.40 ± 0.03
power,0.34 ± 0.05,0.31 ± 0.04,0.42 ± 0.04,0.24 ± 0.03
shen,0.50 ± 0.04,0.44 ± 0.03,0.56 ± 0.03,0.34 ± 0.03
Schaefer300,0.58 ± 0.03,0.75 ± 0.02,0.58 ± 0.03,0.42 ± 0.03
Schaefer400,0.61 ± 0.03,0.74 ± 0.02,0.60 ± 0.03,0.47 ± 0.02
