,DK-114,Schaefer200,AAL,HCP-MMP
DK,0.733107327,0.442735393,0.674318095,0.36112443
DK-114,1.0,0.4814849,0.703073256,0.386587644
DK-219,0.996095058,0.564896598,0.768117833,0.46604523
HCP-MMP,0.720926719,0.651405708,0.765550055,1.0
BN,0.748116033,0.583081286,0.754256809,0.470834827
Schaefer200,0.62751338,1.0,0.689391459,0.449005559
AAL,0.568128148,0.427567661,1.0,0.338638685
arslan,0.451448423,0.367354588,0.517785639,0.277697287
baldassano,0.579759432,0.507677934,0.625282835,0.418985935
Brodmann,0.514517122,0.400992335,0.593187759,0.344830766
economo,0.561115716,0.449184256,0.608122009,0.395809401
ica,0.669146721,0.610714593,0.714820022,0.50173318
nspn500,0.902060757,0.612903007,0.790803233,0.503075705
power,0.631489915,0.608493753,0.709604884,0.503444709
shen,0.60766109,0.573803494,0.647997867,0.437866736
Schaefer300,0.695670869,0.827525133,0.753033511,0.510578769
Schaefer400,0.736616865,0.826197284,0.777498926,0.560003422
