,power,DK,HCP-MMP,arslan,ica,Brodmann,economo,DK-114,AAL,Schaefer300,Schaefer200,Schaefer400,baldassano,DK-219,nspn500,shen,BN
power,1,0.731720586,0.503444709,0.80554345,0.66213702,0.702116909,0.680399499,0.631489915,0.709604884,0.551273174,0.608493753,0.516352599,0.597968021,0.540211864,0.494442396,0.569178986,0.553642643
DK,0.61119073,1,0.36112443,0.69413769,0.513689603,0.590272927,0.629439804,0.733107327,0.674318095,0.363660375,0.442735393,0.310612616,0.41099987,0.549091884,0.429233682,0.378513998,0.409294368
HCP-MMP,0.754951779,0.805633227,1,0.824935851,0.708021154,0.764404096,0.761018699,0.720926719,0.765550055,0.59136461,0.651405708,0.547221529,0.645885095,0.623258742,0.558427056,0.641192488,0.65410974
arslan,0.653892981,0.615673693,0.277697287,1,0.544015513,0.542050737,0.545429154,0.451448423,0.517785639,0.277459161,0.367354588,0.225985313,0.369238577,0.301892933,0.211215075,0.355710629,0.346897165
ica,0.723118595,0.732987095,0.50173318,0.815423352,1,0.682310452,0.689040336,0.669146721,0.714820022,0.555695153,0.610714593,0.505338423,0.606382413,0.555276378,0.506588285,0.593938562,0.593431459
Brodmann,0.606033287,0.623648097,0.344830766,0.67511157,0.467888656,1,0.595088099,0.514517122,0.593187759,0.337994205,0.400992335,0.28909302,0.442619459,0.391552149,0.316548314,0.364776182,0.380647423
economo,0.587492105,0.681974409,0.395809401,0.692748723,0.525386602,0.633390995,1,0.561115716,0.608122009,0.395982397,0.449184256,0.357403101,0.478363462,0.46176724,0.386720769,0.435031681,0.45482595
DK-114,0.653451783,0.961595244,0.386587644,0.741635862,0.569058305,0.65472558,0.703296674,1,0.703073256,0.409560953,0.4814849,0.353741883,0.477894758,0.660945668,0.472852715,0.457713184,0.500979523
AAL,0.642749371,0.725492618,0.338638685,0.699521969,0.510036658,0.604368674,0.627169496,0.568128148,1,0.351442526,0.427567661,0.311542378,0.435778152,0.424992565,0.337818213,0.385885916,0.402888471
Schaefer300,0.760901112,0.780081916,0.510578769,0.829722023,0.70022112,0.727319343,0.721051277,0.695670869,0.753033511,1,0.827525133,0.707464156,0.609530276,0.583673736,0.531612051,0.640675239,0.64444277
Schaefer200,0.728646037,0.723445526,0.449005559,0.797369064,0.660875017,0.681379356,0.665067209,0.62751338,0.689391459,0.68255073,1,0.562458702,0.563365285,0.504792431,0.444818992,0.580213848,0.560859207
Schaefer400,0.786412893,0.807662258,0.560003422,0.844747447,0.733233556,0.757421768,0.758076899,0.736616865,0.777498926,0.806716656,0.826197284,1,0.644888268,0.635934779,0.584881206,0.680763107,0.683616475
baldassano,0.669376367,0.689441784,0.418985935,0.740403366,0.613497099,0.628795851,0.649002386,0.579759432,0.625282835,0.4266047,0.507677934,0.374846464,1,0.448856166,0.389683503,0.50250476,0.489817206
DK-219,0.715086029,0.973590022,0.46604523,0.785082284,0.644488488,0.721257301,0.75095804,0.996095058,0.768117833,0.495401988,0.564896598,0.445022335,0.544651084,1,0.606843521,0.565376195,0.626426245
nspn500,0.742727931,0.979973985,0.503075705,0.812664129,0.679094811,0.746007354,0.774156438,0.902060757,0.790803233,0.555263804,0.612903007,0.504783053,0.589888669,0.755775712,1,0.615469306,0.686280503
shen,0.708804863,0.687191494,0.437866736,0.784495126,0.632438467,0.644245289,0.658315578,0.60766109,0.647997867,0.509868348,0.573803494,0.450869518,0.558215006,0.50783804,0.457240711,1,0.523330271
BN,0.710572567,0.861887972,0.470834827,0.791969673,0.639964666,0.71350288,0.73704046,0.748116033,0.754256809,0.52564322,0.583081286,0.460415425,0.561166574,0.61034636,0.527207803,0.546149455,1
